"Name","Family","Series","Form Factor","# of CPU Cores","# of Threads","Max. Boost Clock","Base Clock","L2 Cache","L3 Cache","Default TDP","L1 Cache","AMD Configurable TDP (cTDP)","Processor Technology for CPU Cores","Unlocked for Overclocking","CPU Socket","Thermal Solution (PIB)","Recommended Cooler","Thermal Solution (MPK)","Max. Operating Temperature (Tjmax)","Launch Date","*OS Support","PCI Express® Version","System Memory Type","Memory Channels","System Memory Specification","Graphics Model","Graphics Core Count","Graphics Frequency","AMD Ryzen™ AI","Product ID Boxed","Product ID Tray","Product ID MPK","Supported Technologies"
"AMD Ryzen™ 7 PRO 6850HS","Ryzen PRO","Ryzen PRO 6000 Series","Laptops , Desktops","8","16","Up to 4.7 GHz","3.2 GHz","4 MB","16 MB","35W","512 KB","","TSMC 6nm FinFET","No","","","","","95°C","","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","DDR5","2","","AMD Radeon™ 680M","12","2200 MHz","","","FP7: 100-000000542 FP7r2:100-000000564","",""
"AMD Ryzen™ 7 PRO 6850H","Ryzen PRO","Ryzen PRO 6000 Series","Laptops , Desktops","8","16","Up to 4.7 GHz","3.2 GHz","4 MB","16 MB","45W","512 KB","","TSMC 6nm FinFET","No","","","","","95°C","","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","DDR5","2","","AMD Radeon™ 680M","12","2200 MHz","","","FP7: 100-000000542 FP7r2: 100-000000564","",""
"AMD Ryzen™ 5 PRO 6650U","Ryzen PRO","Ryzen PRO 6000 Series","Laptops , Desktops","6","12","Up to 4.5 GHz","2.9 GHz","3 MB","16 MB","","384 KB","15-28W","TSMC 6nm FinFET","No","","","","","95°C","04/19/2022","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","DDR5","2","","AMD Radeon™ 660M","6","1900 MHz","","","FP7:100-000000539 , FP7r2:100-000000551","",""
"AMD Ryzen™ 5 PRO 6650HS","Ryzen PRO","Ryzen PRO 6000 Series","Laptops , Desktops","6","12","Up to 4.5 GHz","3.3 GHz","3 MB","16 MB","35W","384 KB","","TSMC 6nm FinFET","No","","","","","95°C","","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","DDR5","2","","AMD Radeon™ 660M","6","1900 MHz","","","FP7: 100-000000543 FP7r2:100-000000565","",""
"AMD Ryzen™ 5 PRO 6650H","Ryzen PRO","Ryzen PRO 6000 Series","Laptops , Desktops","6","12","Up to 4.5 GHz","3.3 GHz","3 MB","16 MB","45W","384 KB","","TSMC 6nm FinFET","No","","","","","95°C","","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","DDR5","2","","AMD Radeon™ 660M","6","1900 MHz","","","FP7: 100-000000543 (FP7) FFP7r2: 100-000000565 (FP7r2)","",""
"AMD Ryzen™ 9 6980HX","Ryzen","Ryzen 6000 Series","Laptops , Desktops","8","16","Up to 5 GHz","3.3 GHz","4 MB","16 MB","45W","512 KB","","TSMC 6nm FinFET","Yes","FP7","","","","95°C","","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","DDR5","2","","AMD Radeon™ 680M","12","2400 MHz","","","FP7:100-000000750 FP7r2:	100-000000751","",""
"AMD Ryzen™ 9 6980HS","Ryzen","Ryzen 6000 Series","Laptops , Desktops","8","16","Up to 5 GHz","3.3 GHz","4 MB","16 MB","35W","512 KB","","TSMC 6nm FinFET","No","FP7","","","","95°C","","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","DDR5","2","","AMD Radeon™ 680M","12","2400 MHz","","","FP7:100-000000750 FP7r2:100-000000751","",""
"AMD Ryzen™ 9 6900HX","Ryzen","Ryzen 6000 Series","Laptops , Desktops","8","16","Up to 4.9 GHz","3.3 GHz","4 MB","16 MB","45W","512 KB","","TSMC 6nm FinFET","Yes","FP7","","","","95°C","","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","DDR5","2","","AMD Radeon™ 680M","12","2400 MHz","","","FP7:100-000000544 FP7r2:	100-000000560","",""
"AMD Ryzen™ 9 6900HS​","Ryzen","Ryzen 6000 Series","Laptops , Desktops","8","16","Up to 4.9 GHz","3.3 GHz","4 MB","16 MB","35W","512 KB","","TSMC 6nm FinFET","No","","","","","95°C","","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","DDR5","2","","AMD Radeon™ 680M","12","2400 MHz","","","FP7:100-000000544 FP7r7:100-000000560","",""
"AMD Ryzen™ 7 6800U​","Ryzen","Ryzen 6000 Series","Laptops , Desktops","8","16","Up to 4.7 GHz","2.7 GHz","4 MB","16 MB","","512 KB","15-28W","TSMC 6nm FinFET","No","FP7","","","","95°C","04/19/2022","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","DDR5","2","","AMD Radeon™ 680M","12","2200 MHz","","","FP7:100-000000534 FP7r2:	100-000000617","",""
"AMD Ryzen™ 7 6800HS","Ryzen","Ryzen 6000 Series","Laptops , Desktops","8","16","Up to 4.7 GHz","3.2 GHz","4 MB","16 MB","35W","512 KB","","TSMC 6nm FinFET","No","FP7","","","","95°C","","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","DDR5","2","","AMD Radeon™ 680M","12","2200 MHz","","","FP7:100-000000545 FP7r7:	100-000000561","",""
"AMD Ryzen™ 7 6800H","Ryzen","Ryzen 6000 Series","Laptops , Desktops","8","16","Up to 4.7 GHz","3.2 GHz","4 MB","16 MB","45W","512 KB","","TSMC 6nm FinFET","No","FP7","","","","95°C","","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","DDR5","2","","AMD Radeon™ 680M","12","2200 MHz","","","FP7:100-000000545 FP7r2:	100-000000561","",""
"AMD Ryzen™ 5 6600U","Ryzen","Ryzen 6000 Series","Laptops , Desktops","6","12","Up to 4.5 GHz","2.9 GHz","3 MB","16 MB","","384 KB","15-28W","TSMC 6nm FinFET","No","FP7","","","","95°C","04/19/2022","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","DDR5","2","","AMD Radeon™ 660M","6","1900 MHz","","","FP7:100-000000536 FP7r2:	100-000000548","",""
"AMD Ryzen™ 5 6600HS​","Ryzen","Ryzen 6000 Series","Laptops , Desktops","6","12","Up to 4.5 GHz","3.3 GHz","3 MB","16 MB","35W","384 KB","","TSMC 6nm FinFET","No","FP7","","","","95°C","","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","DDR5","2","","AMD Radeon™ 660M","6","1900 MHz","","","FP7:100-000000546 FP7r2:	100-000000562","",""
"AMD Ryzen™ 5 6600H","Ryzen","Ryzen 6000 Series","Laptops , Desktops","6","12","Up to 4.5 GHz","3.3 GHz","3 MB","16 MB","45W","384 KB","","TSMC 6nm FinFET","No","FP7","","","","95°C","","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","DDR5","2","","AMD Radeon™ 660M","6","1900 MHz","","","FP7:100-000000546 FP7r2:	100-000000562","",""
"AMD Ryzen™ Threadripper™ PRO 5995WX","Ryzen Threadripper PRO","Ryzen Threadripper PRO 5000 WX-Series","Desktops","64","128","Up to 4.5 GHz","2.7 GHz","32 MB","256 MB","280W","4096 KB","","TSMC 7nm FinFET","Yes","sWRX8","","","","95°C","03/08/2022","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition","PCIe® 4.0","DDR4","8","Up to 3200 MT/s","Discrete Graphics Card Required","","","","100-100000444WOF","100-000000444","","AMD Zen 3 Core Architecture"
"AMD Ryzen™ Threadripper™ PRO 5975WX","Ryzen Threadripper PRO","Ryzen Threadripper PRO 5000 WX-Series","Desktops","32","64","Up to 4.5 GHz","3.6 GHz","16 MB","128 MB","280W","2048 KB","","TSMC 7nm FinFET","Yes","sWRX8","","","","95°C","03/08/2022","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition","PCIe® 4.0","DDR4","8","Up to 3200 MT/s","Discrete Graphics Card Required","","","","100-100000445WOF","100-000000445","","AMD Zen 3 Core Architecture"
"AMD Ryzen™ Threadripper™ PRO 5965WX","Ryzen Threadripper PRO","Ryzen Threadripper PRO 5000 WX-Series","Desktops","24","48","Up to 4.5 GHz","3.8 GHz","12 MB","128 MB","280W","1536 KB","","TSMC 7nm FinFET","Yes","sWRX8","","","","95°C","03/08/2022","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition","PCIe® 4.0","DDR4","8","Up to 3200 MT/s","Discrete Graphics Card Required","","","","100-100000446WOF","100-000000446","","AMD Zen 3 Core Architecture"
"AMD Ryzen™ Threadripper™ PRO 5955WX","Ryzen Threadripper PRO","Ryzen Threadripper PRO 5000 WX-Series","Desktops","16","32","Up to 4.5 GHz","4 GHz","8 MB","64 MB","280W","1024 KB","","TSMC 7nm FinFET","Yes","sWRX8","","","","95°C","03/08/2022","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition","PCIe® 4.0","DDR4","8","Up to 3200 MT/s","Discrete Graphics Card Required","","","","100-100000447WOF","100-000000447","","AMD Zen 3 Core Architecture"
"AMD Ryzen™ Threadripper™ PRO 5945WX","Ryzen Threadripper PRO","Ryzen Threadripper PRO 5000 WX-Series","Desktops","12","24","Up to 4.5 GHz","4.1 GHz","6 MB","64 MB","280W","765 KB","","TSMC 7nm FinFET","Yes","sWRX8","","","","95°C","03/08/2022","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition","PCIe® 4.0","DDR4","8","Up to 3200 MT/s","Discrete Graphics Card Required","","","","","100-000000448","","AMD Zen 3 Core Architecture"
"AMD Ryzen™ 9 PRO 5945","Ryzen PRO","Ryzen PRO 5000 Series","Desktops","12","24","Up to 4.7 GHz","3 GHz","6 MB","64 MB","65W","768 KB","","TSMC 7nm FinFET","No","AM4","","","","95°C","","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition","PCIe® 4.0","DDR4","2","Up to 3200 MT/s","","","","","","100-000000831","",""
"AMD Ryzen™ 7 PRO 5875U","Ryzen PRO","Ryzen PRO 5000 Series","Laptops , Desktops","8","16","Up to 4.5 GHz","2 GHz","4 MB","16 MB","15W","512 KB","","TSMC 7nm FinFET","No","FP6","","","","95°C","01/30/2022","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","DDR4","2","","AMD Radeon™ Graphics","8","2000 MHz","","","100-000000581","",""
"AMD Ryzen™ 7 PRO 5850U","Ryzen PRO","Ryzen PRO 5000 Series","Laptops , Desktops","8","16","Up to 4.4 GHz","1.9 GHz","4 MB","16 MB","15W","","","TSMC 7nm FinFET","No","FP6","","","","105°C","3/16/2021","Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","DDR4 , LPDDR4","","3200 MT/s / 4266 MT/s","AMD Radeon™ Graphics","8","2000 MHz","","","100-000000289","",""
"AMD Ryzen™ 7 PRO 5845","Ryzen PRO","Ryzen PRO 5000 Series","Desktops","8","16","Up to 4.6 GHz","3.4 GHz","4 MB","32 MB","65W","512 KB","","TSMC 7nm FinFET","No","AM4","","","","95°C","","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition","PCIe® 4.0","DDR4","2","Up to 3200 MT/s","","","","","","100-000000832","",""
"AMD Ryzen™ 7 PRO 5755GE","Ryzen PRO","Ryzen PRO 5000 Series","Desktops","8","16","Up to 4.6 GHz","3.2 GHz","4 MB","16 MB","35W","","","TSMC 7nm FinFET","No","AM4","","","","95°C","9/5/2024","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","DDR4","2","Up to 3200 MT/s","Radeon™ Graphics","8","2000 MHz","","","100-000001750","","AMD PRO technologies"
"AMD Ryzen™ 7 PRO 5755G","Ryzen PRO","Ryzen PRO 5000 Series","Desktops","8","16","Up to 4.6 GHz","3.8 GHz","4 MB","16 MB","65W","","","TSMC 7nm FinFET","No","AM4","","","","95°C","9/5/2024","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","DDR4","2","Up to 3200 MT/s","Radeon™ Graphics","8","2000 MHz","","","100-000001748","","AMD PRO technologies"
"AMD Ryzen™ 7 PRO 5750GE","Ryzen PRO","Ryzen PRO 5000 Series","Desktops","8","16","Up to 4.6 GHz","3.2 GHz","4 MB","16 MB","35W","","","TSMC 7nm FinFET","No","AM4","","","","95°C","6/1/2021","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","DDR4","2","Up to 3200 MT/s","Radeon™  Graphics","8","2000 MHz","","","100-000000257","","AMD PRO technologies"
"AMD Ryzen™ 7 PRO 5750G","Ryzen PRO","Ryzen PRO 5000 Series","Desktops","8","16","Up to 4.6 GHz","3.8 GHz","4 MB","16 MB","65W","","","TSMC 7nm FinFET","No","AM4","","","","95°C","6/1/2021","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","DDR4","2","Up to 3200 MT/s","Radeon™  Graphics","8","2000 MHz","","","100-000000254","","AMD PRO technologies"
"AMD Ryzen™ 5 PRO 5675U","Ryzen PRO","Ryzen PRO 5000 Series","Laptops , Desktops","6","12","Up to 4.3 GHz","2.3 GHz","3 MB","16 MB","15W","384 KB","","TSMC 7nm FinFET","No","FP6","","","","95°C","01/30/2022","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","DDR4","2","","AMD Radeon™ Graphics","7","1800 MHz","","","100-000000584","",""
"AMD Ryzen™ 5 PRO 5655GE","Ryzen PRO","Ryzen PRO 5000 Series","Desktops","6","12","Up to 4.4 GHz","3.4 GHz","3 MB","16 MB","35W","","","TSMC 7nm FinFET","No","AM4","","","","95°C","5/7/2024","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","DDR4","2","Up to 3200 MT/s","Radeon™  Graphics","7","1900 MHz","","","100-000001514","","AMD PRO technologies"
"AMD Ryzen™ 5 PRO 5655G","Ryzen PRO","Ryzen PRO 5000 Series","Desktops","6","12","Up to 4.4 GHz","3.9 GHz","3 MB","16 MB","65W","","","TSMC 7nm FinFET","No","AM4","","","","95°C","5/7/2024","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","DDR4","2","Up to 3200 MT/s","Radeon™  Graphics","7","1900 MHz","","","100-000001513","","AMD PRO technologies"
"AMD Ryzen™ 5 PRO 5650U","Ryzen PRO","Ryzen PRO 5000 Series","Laptops , Desktops","6","12","Up to 4.2 GHz","2.3 GHz","3 MB","16 MB","15W","","","TSMC 7nm FinFET","No","FP6","","","","105°C","3/16/2021","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","DDR4 , LPDDR4","","3200 MT/s / 4266 MT/s","AMD Radeon™ Graphics","7","1800 MHz","","","100-000000290","",""
"AMD Ryzen™ 5 PRO 5650GE","Ryzen PRO","Ryzen PRO 5000 Series","Desktops","6","12","Up to 4.4 GHz","3.4 GHz","3 MB","16 MB","35W","","","TSMC 7nm FinFET","No","AM4","","","","95°C","6/1/2021","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","DDR4","2","Up to 3200 MT/s","Radeon™  Graphics","7","1900 MHz","","","100-000000258","","AMD PRO technologies"
"AMD Ryzen™ 5 PRO 5650G","Ryzen PRO","Ryzen PRO 5000 Series","Desktops","6","12","Up to 4.4 GHz","3.9 GHz","3 MB","16 MB","65W","","","TSMC 7nm FinFET","No","AM4","","","","95°C","6/1/2021","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","DDR4","2","Up to 3200 MT/s","Radeon™  Graphics","7","1900 MHz","","","100-000000255","","AMD PRO technologies"
"AMD Ryzen™ 5 PRO 5645","Ryzen PRO","Ryzen PRO 5000 Series","Desktops","6","12","Up to 4.6 GHz","3.7 GHz","3 MB","32 MB","65W","768 KB","","TSMC 7nm FinFET","No","AM4","","","","95°C","","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition","PCIe® 4.0","DDR4","2","Up to 3200 MT/s","","","","","","100-000000833","",""
"AMD Ryzen™ 3 PRO 5475U","Ryzen PRO","Ryzen PRO 5000 Series","Laptops , Desktops","4","8","Up to 4.1 GHz","2.7 GHz","2 MB","8 MB","15W","256 KB","","TSMC 7nm FinFET","No","FP6","","","","95°C","01/30/2022","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","DDR4","2","","AMD Radeon™ Graphics","6","1600 MHz","","","100-000000587","",""
"AMD Ryzen™ 3 PRO 5450U","Ryzen PRO","Ryzen PRO 5000 Series","Laptops , Desktops","4","8","Up to 4 GHz","2.6 GHz","2 MB","8 MB","15W","","","TSMC 7nm FinFET","No","FP6","","","","105°C","3/16/2021","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","DDR4 , LPDDR4","","3200 MT/s / 4266 MT/s","AMD Radeon™ Graphics","6","1600 MHz","","","100-000000291","",""
"AMD Ryzen™ 3 PRO 5355GE","Ryzen PRO","Ryzen PRO 5000 Series","Desktops","4","8","Up to 4.2 GHz","3.6 GHz","2 MB","8 MB","35W","","","TSMC 7nm FinFET","No","AM4","","","","95°C","9/5/2024","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","DDR4","2","Up to 3200 MT/s","Radeon™  Graphics","6","1700 MHz","","","100-000001751","","AMD PRO technologies"
"AMD Ryzen™ 3 PRO 5355G","Ryzen PRO","Ryzen PRO 5000 Series","Desktops","4","8","Up to 4.2 GHz","4 GHz","2 MB","8 MB","65W","","","TSMC 7nm FinFET","No","AM4","","","","95°C","9/5/2024","Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit , Windows 11 - 64-Bit Edition","PCIe® 3.0","DDR4","2","Up to 3200 MT/s","Radeon™  Graphics","6","1700 MHz","","","100-000001749","","AMD PRO technologies"
"AMD Ryzen™ 3 PRO 5350GE","Ryzen PRO","Ryzen PRO 5000 Series","Desktops","4","8","Up to 4.2 GHz","3.6 GHz","2 MB","8 MB","35W","","","TSMC 7nm FinFET","No","AM4","","","","95°C","6/1/2021","Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit , Windows 11 - 64-Bit Edition","PCIe® 3.0","DDR4","2","Up to 3200 MT/s","Radeon™  Graphics","6","1700 MHz","","","100-000000259","","AMD PRO technologies"
"AMD Ryzen™ 3 PRO 5350G","Ryzen PRO","Ryzen PRO 5000 Series","Desktops","4","8","Up to 4.2 GHz","4 GHz","2 MB","8 MB","65W","","","TSMC 7nm FinFET","No","AM4","","","","95°C","6/1/2021","Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit , Windows 11 - 64-Bit Edition","PCIe® 3.0","DDR4","2","Up to 3200 MT/s","Radeon™  Graphics","6","1700 MHz","","","100-000000256","","AMD PRO technologies"
"AMD Ryzen™ 9 5980HX","Ryzen","Ryzen 5000 Series","Laptops , Desktops","8","16","Up to 4.8 GHz","3.3 GHz","4 MB","16 MB","45+W","","35-54W","TSMC 7nm FinFET","","FP6","","","","105°C","1/12/2021","Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","DDR4 - Up to 3200 , LPDDR4 - Up to 4266","","","AMD Radeon™ Graphics","8","2100 MHz","","","100-000000474","","AMD Zen 3 Core Architecture"
"AMD Ryzen™ 9 5980HS","Ryzen","Ryzen 5000 Series","Laptops , Desktops","8","16","Up to 4.8 GHz","3 GHz","4 MB","16 MB","35W","","","TSMC 7nm FinFET","","FP6","","","","105°C","1/12/2021","Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","DDR4 - Up to 3200 , LPDDR4 - Up to 4266","","","AMD Radeon™ Graphics","8","2100 MHz","","","100-000000474","","AMD Zen 3 Core Architecture"
"AMD Ryzen™ 9 5950X","Ryzen","Ryzen 5000 Series","Desktops , Boxed Processor","16","32","Up to 4.9 GHz","3.4 GHz","8 MB","64 MB","105W","","","TSMC 7nm FinFET","Yes","AM4","Not Included","Liquid cooler recommended for optimal performance","","90°C","11/5/2020","Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","DDR4","","Up to 3200 MT/s","Discrete Graphics Card Required","","","","100-100000059WOF","100-000000059","","AMD StoreMI Technology , AMD Zen 3 Core Architecture , AMD Ryzen™ Master Utility , AMD Ryzen™ VR-Ready Premium"
"AMD Ryzen™ 9 5900XT","Ryzen","Ryzen 5000 Series","Boxed Processor , Desktops","16","32","Up to 4.8 GHz","3.3 GHz","8 MB","64 MB","105W","1024 KB","","TSMC 7nm FinFET","Yes","AM4","Not Included","","","90°C","07/31/2024","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","DDR4","2","","Discrete Graphics Card Required","","","","100-100001581WOF , 100-100001581WOZ","100-000001581","","AMD Zen 3 Core Architecture , AMD StoreMI Technology , AMD Ryzen™ Master Utility , AMD Ryzen™ VR-Ready Premium"
"AMD Ryzen™ 9 5900X","Ryzen","Ryzen 5000 Series","Desktops , Boxed Processor","12","24","Up to 4.8 GHz","3.7 GHz","6 MB","64 MB","105W","","","TSMC 7nm FinFET","Yes","AM4","Not Included","Liquid cooler recommended for optimal performance","","90°C","11/5/2020","Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","DDR4","","Up to 3200 MT/s","Discrete Graphics Card Required","","","","100-100000061WOF","100-000000061","","AMD StoreMI Technology , AMD Zen 3 Core Architecture , AMD Ryzen™ Master Utility , AMD Ryzen™ VR-Ready Premium"
"AMD Ryzen™ 9 5900HX","Ryzen","Ryzen 5000 Series","Laptops , Desktops","8","16","Up to 4.6 GHz","3.3 GHz","4 MB","16 MB","45+W","","35-54W","TSMC 7nm FinFET","","FP6","","","","105°C","1/12/2021","Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","DDR4 - Up to 3200 , LPDDR4 - Up to 4266","","","AMD Radeon™ Graphics","8","2100 MHz","","","100-000000300","","AMD Zen 3 Core Architecture"
"AMD Ryzen™ 9 5900HS","Ryzen","Ryzen 5000 Series","Laptops , Desktops","8","16","Up to 4.6 GHz","3 GHz","4 MB","16 MB","35W","","","TSMC 7nm FinFET","","FP6","","","","105°C","1/12/2021","Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","DDR4 - Up to 3200 , LPDDR4 - Up to 4266","","","AMD Radeon™ Graphics","","2100 MHz","","","100-000000300","","AMD Zen 3 Core Architecture"
"AMD Ryzen™ 9 5900 (OEM Only)","Ryzen","Ryzen 5000 Series","Desktops","12","24","Up to 4.7 GHz","3 GHz","6 MB","64 MB","65W","","","TSMC 7nm FinFET","Yes","AM4","","","","95°C","1/12/2021","Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","DDR4","","Up to 3200 MT/s","Discrete Graphics Card Required","","","","","100-000000062","","AMD Zen 3 Core Architecture , AMD Ryzen™ Master Utility , AMD Ryzen™ VR-Ready Premium"
"AMD Ryzen™ 7 5825U","Ryzen","Ryzen 5000 Series","Laptops , Desktops","8","16","Up to 4.5 GHz","2 GHz","4 MB","16 MB","15W","512 KB","","TSMC 7nm FinFET","No","FP6","","","","95°C","01/30/2022","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 3.0","DDR4","2","","AMD Radeon™ Graphics","8","2000 MHz","","","100-000000580","",""
"AMD Ryzen™ 7 5825C","Ryzen","Ryzen 5000 Series","Laptops , Desktops","8","16","Up to 4.5 GHz","2 GHz","4 MB","16 MB","15W","512 KB","","TSMC 7nm FinFET","No","FP6","","","","95°C","","ChromeOS","PCIe® 3.0","DDR4","2","","AMD Radeon™ Graphics","8","","","","","",""
"AMD Ryzen™ 7 5800X3D","Ryzen","Ryzen 5000 Series","Desktops , Boxed Processor","8","16","Up to 4.5 GHz","3.4 GHz","4 MB","96 MB","105W","512 KB","","TSMC 7nm FinFET","","AM4","Not Included","Liquid cooler recommended for optimal performance","","90°C","","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","DDR4","2","","Discrete Graphics Card Required","","","","","","","AMD 3D V-Cache™ Technology , Windows® 11 Gaming , AMD Ryzen™ VR-Ready Premium"
"AMD Ryzen™ 7 5800XT","Ryzen","Ryzen 5000 Series","Boxed Processor , Desktops","8","16","Up to 4.8 GHz","3.8 GHz","4 MB","32 MB","105W","512 KB","","TSMC 7nm FinFET","Yes","AM4","AMD Wraith Prism","","","90°C","07/31/2024","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","DDR4","2","","Discrete Graphics Card Required","","","","100-100001582BOX , 100-100001582CBX","100-000001582","100-100001582MPK , 100-100001582CPK","AMD Zen 3 Core Architecture , AMD StoreMI Technology , AMD Ryzen™ Master Utility , AMD Ryzen™ VR-Ready Premium"
