"Name","Series","# of CPU Cores","# of Threads","Max. Boost Clock","All Core Boost Speed","Base Clock","L3 Cache","1kU Pricing","Default TDP","AMD Configurable TDP (cTDP)","CPU Socket","Socket Count","Launch Date","PCI Express® Version","System Memory Type","Memory Channels","System Memory Specification","Per Socket Mem BW","Product ID Boxed","Product ID Tray","AMD Infinity Guard","Supported Technologies","Workload Affinity"
"AMD EPYC™ 7203","EPYC 7003 Series","8","16","Up to 3.4 GHz","","2.8 GHz","64 MB","348 USD","120W","120-150W","SP3","1P / 2P","09/05/2023","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","100-000001286WOF","100-000001286","","AMD Infinity Guard , AMD Infinity Architecture","General Purpose"
"AMD EPYC™ 7303P","EPYC 7003 Series","16","32","Up to 3.4 GHz","","2.4 GHz","64 MB","594 USD","130W","120-150W","SP3","1P","09/05/2023","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","100-000001289WOF","100-000001289","","AMD Infinity Guard , AMD Infinity Architecture","Cost-optimized , General Purpose"
"AMD EPYC™ 7303","EPYC 7003 Series","16","32","Up to 3.4 GHz","","2.4 GHz","64 MB","604 USD","130W","120-150W","SP3","1P / 2P","09/05/2023","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","100-000001288WOF","100-000001288","","AMD Infinity Guard , AMD Infinity Architecture","Cost-optimized , General Purpose"
"AMD EPYC™ 7643P","EPYC 7003 Series","48","96","Up to 3.6 GHz","","2.3 GHz","256 MB","2722 USD","225W","225-240W","SP3","1P","09/05/2023","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","","100-000001285","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , App dev|test , ERM|SCM|CRM apps , High capacity data mgmt (NR|RDBMS) , VDI , VM Density"
"AMD EPYC™ 7773X","EPYC 7003 Series","64","128","Up to 3.5 GHz","","2.2 GHz","768 MB","8800 USD","280W","225-280W","SP3","1P / 2P","03/22/2021","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","","100-000000504​","","AMD 3D V-Cache™ Technology , AMD Infinity Guard , AMD Infinity Architecture","Cache-sensitive scale-up|out , CFD , FEA Solvers"
"AMD EPYC™ 7763","EPYC 7003 Series","64","128","Up to 3.5 GHz","","2.45 GHz","256 MB","7890 USD","280W","225-280W","SP3","1P / 2P","03/15/2021","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","100-100000312WOF","100-000000312","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , Cache-sensitive scale-up|out , CAE|CFD|FEA , ERM|SCM|CRM apps , High capacity data mgmt (NR|RDBMS) , VM Density"
"AMD EPYC™ 7713P","EPYC 7003 Series","64","128","Up to 3.67 GHz","","2 GHz","256 MB","5010 USD","225W","225-240W","SP3","1P","03/15/2021","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","","100-000000337","","AMD Infinity Guard , AMD Infinity Architecture","App dev|test , ERM|SCM|CRM apps , Value data mgmt (NR|RDBMS) , VDI , VM Density"
"AMD EPYC™ 7713","EPYC 7003 Series","64","128","Up to 3.67 GHz","","2 GHz","256 MB","7060 USD","225W","225-240W","SP3","1P / 2P","03/15/2021","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","100-100000344WOF","100-000000344","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , App dev|test , CAE|CFD|FEA , ERM|SCM|CRM apps , High capacity data mgmt (NR|RDBMS) , VDI , VM Density"
"AMD EPYC™ 7663","EPYC 7003 Series","56","112","Up to 3.5 GHz","","2 GHz","256 MB","6366 USD","240W","225-240W","SP3","1P / 2P","03/15/2021","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","","100-000000318","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , App dev|test , CAE|CFD|FEA , ERM|SCM|CRM apps , High capacity data mgmt (NR|RDBMS) , VDI , VM Density"
"AMD EPYC™ 7643","EPYC 7003 Series","48","96","Up to 3.6 GHz","","2.3 GHz","256 MB","4995 USD","225W","225-240W","SP3","1P / 2P","03/15/2021","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","","100-000000326","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , App dev|test , CAE|CFD|FEA , ERM|SCM|CRM apps , High capacity data mgmt (NR|RDBMS) , VDI , VM Density"
"AMD EPYC™ 7663P","EPYC 7003 Series","56","112","Up to 3.5 GHz","","2 GHz","256 MB","3139 USD","240W","225-280W","SP3","1P","09/05/2023","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","","100-000001284","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , App dev|test , ERM|SCM|CRM apps , High capacity data mgmt (NR|RDBMS) , VDI , VM Density"
"AMD EPYC™ 75F3","EPYC 7003 Series","32","64","Up to 4 GHz","","2.95 GHz","256 MB","4860 USD","280W","225-280W","SP3","1P / 2P","03/15/2021","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","","100-000000313","","AMD Infinity Guard , AMD Infinity Architecture","EDA , HCI , High performance VM Density , Per core CAE|CFD|FEA , VDI"
"AMD EPYC™ 7573X","EPYC 7003 Series","32","64","Up to 3.6 GHz","","2.8 GHz","768 MB","5590 USD","280W","225-280W","SP3","1P / 2P","03/22/2021","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","","100-000000506​","","AMD 3D V-Cache™ Technology , AMD Infinity Guard , AMD Infinity Architecture","CFD , FEA Solvers"
"AMD EPYC™ 7543P","EPYC 7003 Series","32","64","Up to 3.7 GHz","","2.8 GHz","256 MB","2730 USD","225W","225-240W","SP3","1P","03/15/2021","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","100-100000341WOF","100-000000341","","AMD Infinity Guard , AMD Infinity Architecture","ERM|SCM|CRM apps , Value data mgmt (NR|RDBMS) , VDI , VM Density"
"AMD EPYC™ 7543","EPYC 7003 Series","32","64","Up to 3.7 GHz","","2.8 GHz","256 MB","3761 USD","225W","225-240W","SP3","1P / 2P","03/15/2021","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","100-100000345WOF","100-000000345","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , CAE|CFD|FEA , ERM|SCM|CRM apps , Media streaming , Medium capacity data mgmt (NR|RDBMS) , VDI , VM Density"
"AMD EPYC™ 7513","EPYC 7003 Series","32","64","Up to 3.65 GHz","","2.6 GHz","128 MB","2840 USD","200W","165-200W","SP3","1P / 2P","03/15/2021","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","100-100000334WOF","100-000000334","","AMD Infinity Guard , AMD Infinity Architecture","App dev|test , Content mgmt , General Purpose"
"AMD EPYC™ 74F3","EPYC 7003 Series","24","48","Up to 4 GHz","","3.2 GHz","256 MB","2900 USD","240W","225-240W","SP3","1P / 2P","03/15/2021","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","","100-000000317","","AMD Infinity Guard , AMD Infinity Architecture","EDA , HCI , High performance VM Density , Per core CAE|CFD|FEA , VDI"
"AMD EPYC™ 7473X","EPYC 7003 Series","24","48","Up to 3.7 GHz","","2.8 GHz","768 MB","3900 USD","240W","225-280W","SP3","1P / 2P","03/22/2021","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","","100-000000507​","","AMD 3D V-Cache™ Technology , AMD Infinity Guard , AMD Infinity Architecture","CFD , EDA , FEA Solvers"
"AMD EPYC™ 7453","EPYC 7003 Series","28","56","Up to 3.45 GHz","","2.75 GHz","64 MB","1570 USD","225W","225-240W","SP3","1P / 2P","03/15/2021","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","","100-000000319","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , App dev|test , Content mgmt , General Purpose , Value , Value data mgmt (NR|RDBMS)"
"AMD EPYC™ 7443P","EPYC 7003 Series","24","48","Up to 4 GHz","","2.85 GHz","128 MB","1337 USD","200W","165-200W","SP3","1P","03/15/2021","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","100-100000342WOF","100-000000342","","AMD Infinity Guard , AMD Infinity Architecture","General Purpose , SW-defined storage , Value"
"AMD EPYC™ 7443","EPYC 7003 Series","24","48","Up to 4 GHz","","2.85 GHz","128 MB","2010 USD","200W","165-200W","SP3","1P / 2P","03/15/2021","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","","100-000000340","","AMD Infinity Guard , AMD Infinity Architecture","General Purpose , GPU|FPGA Accelerated , Per core CAE|CFD|FEA , SW-defined storage"
"AMD EPYC™ 7413","EPYC 7003 Series","24","48","Up to 3.6 GHz","","2.65 GHz","128 MB","1825 USD","180W","165-200W","SP3","1P / 2P","03/15/2021","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","100-100000323WOF","100-000000323","","AMD Infinity Guard , AMD Infinity Architecture","ERM|SCM|CRM apps , General Purpose , Networking|NFV , Web Serving"
"AMD EPYC™ 73F3","EPYC 7003 Series","16","32","Up to 4 GHz","","3.5 GHz","256 MB","3521 USD","240W","225-240W","SP3","1P / 2P","03/15/2021","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","","100-000000321","","AMD Infinity Guard , AMD Infinity Architecture","EDA , High-speed data mgmt (NR|RDBMS) , Per core CAE|CFD|FEA"
"AMD EPYC™ 7373X","EPYC 7003 Series","16","32","Up to 3.8 GHz","","3.05 GHz","768 MB","4185 USD","240W","225-280W","SP3","1P / 2P","03/22/2021","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","","100-000000508​","","AMD 3D V-Cache™ Technology , AMD Infinity Guard , AMD Infinity Architecture","CFD , EDA , FEA Solvers"
"AMD EPYC™ 7343","EPYC 7003 Series","16","32","Up to 3.9 GHz","","3.2 GHz","128 MB","1565 USD","190W","165-200W","SP3","1P / 2P","03/15/2021","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","","100-000000338","","AMD Infinity Guard , AMD Infinity Architecture","EDA , General Purpose , Media streaming , Per core CAE|CFD|FEA , Value"
"AMD EPYC™ 7313P","EPYC 7003 Series","16","32","Up to 3.7 GHz","","3 GHz","128 MB","913 USD","155W","155-180W","SP3","1P","03/15/2021","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","100-100000339WOF","100-000000339","","AMD Infinity Guard , AMD Infinity Architecture","EDA , Media streaming , Value per core CAE|CFD|FEA"
"AMD EPYC™ 7313","EPYC 7003 Series","16","32","Up to 3.7 GHz","","3 GHz","128 MB","1083 USD","155W","155-180W","SP3","1P / 2P","03/15/2021","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","100-100000329WOF","100-000000329","","AMD Infinity Guard , AMD Infinity Architecture","EDA , Media streaming , Per core CAE|CFD|FEA"
"AMD EPYC™ 72F3","EPYC 7003 Series","8","16","Up to 4.1 GHz","","3.7 GHz","256 MB","2468 USD","180W","165-200W","SP3","1P / 2P","03/15/2021","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","","100-000000327","","AMD Infinity Guard , AMD Infinity Architecture","Departmental CAE|CFD|FEA , EDA , FSI risk analysis , Licensed per core data mgmt (RDBMS)"
"AMD EPYC™ 7H12","EPYC 7002 Series","64","128","Up to 3.3 GHz","","2.6 GHz","256 MB","7250 USD","280W","","SP3","1P / 2P","","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","100-100000055WOF","100-000000055","","AMD Infinity Guard , AMD Infinity Architecture","Specialized CAE|CFD|FEA"
"AMD EPYC™ 7F72","EPYC 7002 Series","24","48","Up to 3.7 GHz","","3.2 GHz","192 MB","2450 USD","240W","","SP3","1P / 2P","","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","100-000000141WOF","100-000000141","","AMD Infinity Guard , AMD Infinity Architecture","EDA , HCI , High performance VM Density , Per core CAE|CFD|FEA , VDI"
"AMD EPYC™ 7F52","EPYC 7002 Series","16","32","Up to 3.9 GHz","","3.5 GHz","256 MB","3100 USD","240W","","SP3","1P / 2P","","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","100-000000140WOF","100-000000140","","AMD Infinity Guard , AMD Infinity Architecture","EDA , High-speed data mgmt (NR|RDBMS) , Per core CAE|CFD|FEA"
"AMD EPYC™ 7F32","EPYC 7002 Series","8","16","Up to 3.9 GHz","","3.7 GHz","128 MB","2100 USD","180W","","SP3","1P / 2P","","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","100-000000139WOF","100-000000139","","AMD Infinity Guard , AMD Infinity Architecture","Departmental CAE|CFD|FEA , EDA , FSI risk analysis , Licensed per core data mgmt (RDBMS)"
"AMD EPYC™ 7742","EPYC 7002 Series","64","128","Up to 3.4 GHz","","2.25 GHz","256 MB","6950 USD","225W","","SP3","1P / 2P","","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","100-100000053WOF","100-000000053","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , Cache-sensitive scale-up|out , CAE|CFD|FEA , ERM|SCM|CRM apps , High capacity data mgmt (NR|RDBMS) , VM Density"
"AMD EPYC™ 7702P","EPYC 7002 Series","64","128","Up to 3.35 GHz","","2 GHz","256 MB","4425 USD","200W","","SP3","1P","","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","100-100000047WOF","100-000000047","","AMD Infinity Guard , AMD Infinity Architecture","ERM|SCM|CRM apps , Security , Value data mgmt (NR|RDBMS) , VM Density"
"AMD EPYC™ 7702","EPYC 7002 Series","64","128","Up to 3.35 GHz","","2 GHz","256 MB","6450 USD","200W","","SP3","1P / 2P","","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","100-100000038WOF","100-000000038","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , Cache-sensitive scale-up|out , CAE|CFD|FEA , ERM|SCM|CRM apps , High capacity data mgmt (NR|RDBMS) , VM Density"
"AMD EPYC™ 7662","EPYC 7002 Series","64","128","Up to 3.3 GHz","","2 GHz","256 MB","6150 USD","225W","","SP3","1P / 2P","","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","100-000000137WOF","100-000000137","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , App dev|test , CAE|CFD|FEA , ERM|SCM|CRM apps , High capacity data mgmt (NR|RDBMS) , VDI , VM Density"
"AMD EPYC™ 7642","EPYC 7002 Series","48","96","Up to 3.3 GHz","","2.3 GHz","256 MB","4775 USD","225W","","SP3","1P / 2P","","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","100-100000074WOF","100-000000074","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , App dev|test , CAE|CFD|FEA , ERM|SCM|CRM apps , High capacity data mgmt (NR|RDBMS) , VDI , VM Density"
"AMD EPYC™ 7552","EPYC 7002 Series","48","96","Up to 3.3 GHz","","2.2 GHz","192 MB","4025 USD","200W","","SP3","1P / 2P","","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","100-100000076WOF","100-000000076","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , App dev|test , CAE|CFD|FEA , ERM|SCM|CRM apps , High capacity data mgmt (NR|RDBMS) , VDI , VM Density"
"AMD EPYC™ 7542","EPYC 7002 Series","32","64","Up to 3.4 GHz","","2.9 GHz","128 MB","3400 USD","225W","","SP3","1P / 2P","","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","100-100000075WOF","100-000000075","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , CAE|CFD|FEA , ERM|SCM|CRM apps , Media streaming , Medium capacity data mgmt (NR|RDBMS) , VDI , VM Density"
"AMD EPYC™ 7532","EPYC 7002 Series","32","64","Up to 3.3 GHz","","2.4 GHz","256 MB","2380 USD","200W","","SP3","1P / 2P","","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","100-000000136WOF","100-000000136","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , CAE|CFD|FEA , ERM|SCM|CRM apps , Media streaming , Medium capacity data mgmt (NR|RDBMS) , VDI , VM Density"
"AMD EPYC™ 7502P","EPYC 7002 Series","32","64","Up to 3.35 GHz","","2.5 GHz","128 MB","2300 USD","180W","","SP3","1P","","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","100-100000045WOF","100-000000045","","AMD Infinity Guard , AMD Infinity Architecture","ERM|SCM|CRM apps , Value data mgmt (NR|RDBMS) , VDI , VM Density"
"AMD EPYC™ 7502","EPYC 7002 Series","32","64","Up to 3.35 GHz","","2.5 GHz","128 MB","2600 USD","180W","","SP3","1P / 2P","","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","100-100000054WOF","100-000000054","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , CAE|CFD|FEA , ERM|SCM|CRM apps , Media streaming , Medium capacity data mgmt (NR|RDBMS) , VDI , VM Density"
"AMD EPYC™ 7452","EPYC 7002 Series","32","64","Up to 3.35 GHz","","2.35 GHz","128 MB","2025 USD","155W","","SP3","1P / 2P","","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","100-100000057WOF","100-000000057","","AMD Infinity Guard , AMD Infinity Architecture","App dev|test , Content mgmt , General Purpose"
"AMD EPYC™ 7402P","EPYC 7002 Series","24","48","Up to 3.35 GHz","","2.8 GHz","128 MB","1250 USD","180W","","SP3","1P","","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","100-100000048WOF","100-000000048","","AMD Infinity Guard , AMD Infinity Architecture","General Purpose , SW-defined storage , Value"
"AMD EPYC™ 7402","EPYC 7002 Series","24","48","Up to 3.35 GHz","","2.8 GHz","128 MB","1783 USD","180W","","SP3","1P / 2P","","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","100-100000046WOF","100-000000046","","AMD Infinity Guard , AMD Infinity Architecture","General Purpose , GPU|FPGA Accelerated , Per core CAE|CFD|FEA , SW-defined storage"
"AMD EPYC™ 7352","EPYC 7002 Series","24","48","Up to 3.2 GHz","","2.3 GHz","128 MB","1080 USD","155W","","SP3","1P / 2P","","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","100-100000077WOF","100-000000077","","AMD Infinity Guard , AMD Infinity Architecture","ERM|SCM|CRM apps , Networking|NFV , Web Serving"
"AMD EPYC™ 7302P","EPYC 7002 Series","16","32","Up to 3.3 GHz","","3 GHz","128 MB","825 USD","155W","","SP3","1P","","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","100-100000049WOF","100-000000049","","AMD Infinity Guard , AMD Infinity Architecture","EDA , Media streaming , Value per core CAE|CFD|FEA"
"AMD EPYC™ 7302","EPYC 7002 Series","16","32","Up to 3.3 GHz","","3 GHz","128 MB","978 USD","155W","","SP3","1P / 2P","","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","100-100000043WOF","100-000000043","","AMD Infinity Guard , AMD Infinity Architecture","EDA , Media streaming , Per core CAE|CFD|FEA"
"AMD EPYC™ 7282","EPYC 7002 Series","16","32","Up to 3.2 GHz","","2.8 GHz","64 MB","604 USD","120W","","SP3","1P / 2P","","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","85.3 GB/s","100-100000078WOF","100-000000078","","AMD Infinity Guard , AMD Infinity Architecture","Cost-optimized , General Purpose , SW-defined storage"
"AMD EPYC™ 7272","EPYC 7002 Series","12","24","Up to 3.2 GHz","","2.9 GHz","64 MB","549 USD","120W","","SP3","1P / 2P","","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","85.3 GB/s","100-100000079WOF","100-000000079","","AMD Infinity Guard , AMD Infinity Architecture","Content mgmt , Cost-optimized , General Purpose"
"AMD EPYC™ 7262","EPYC 7002 Series","8","16","Up to 3.4 GHz","","3.2 GHz","128 MB","505 USD","155W","","SP3","1P / 2P","","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","204.8 GB/s","100-100000041WOF","100-000000041","","AMD Infinity Guard , AMD Infinity Architecture","Collaborative , Cost-optimized , Departmental CAE|CFD|FEA , EDA , Licensed per core data mgmt (RDBMS)"
"AMD EPYC™ 7252","EPYC 7002 Series","8","16","Up to 3.2 GHz","","3.1 GHz","64 MB","348 USD","120W","","SP3","1P / 2P","","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","85.3 GB/s","100-100000080WOF","100-000000080","","AMD Infinity Guard , AMD Infinity Architecture","Collaborative , Cost-optimized , Departmental CAE|CFD|FEA , EDA , Licensed per core data mgmt (RDBMS)"
"AMD EPYC™ 7232P","EPYC 7002 Series","8","16","Up to 3.2 GHz","","3.1 GHz","32 MB","338 USD","120W","","SP3","1P","","PCIe® 4.0 x128","DDR4","8","Up to 3200 MT/s","85.3 GB/s","100-100000081WOF","100-000000081","","AMD Infinity Guard , AMD Infinity Architecture","Cost-optimized , Per core license , Value"
"AMD EPYC™ 7601","EPYC 7001 Series","32","64","Up to 3.2 GHz","","2.2 GHz","64 MB","3270 USD","180W","","SP3","1P / 2P","","PCIe® 3.0 x128","DDR4","8","Up to 2666 MT/s","170.6 GB/s","PS7601BDAFWOF","PS7601BDVIHAF","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , Cache-sensitive scale-up|out , CAE|CFD|FEA , ERM|SCM|CRM apps , High capacity data mgmt (NR|RDBMS)"
"AMD EPYC™ 7551P","EPYC 7001 Series","32","64","Up to 3 GHz","","2 GHz","64 MB","1830 USD","180W","","SP3","1P","","PCIe® 3.0 x128","DDR4","8","Up to 2666 MT/s","170.6 GB/s","PS755PBDAFWOF","PS755PBDVIHAF","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , App dev|test , Cache-sensitive scale-up|out , CAE|CFD|FEA , ERM|SCM|CRM apps , High capacity data mgmt (NR|RDBMS) , VDI , VM Density"
"AMD EPYC™ 7551","EPYC 7001 Series","32","64","Up to 3 GHz","","2 GHz","64 MB","2660 USD","180W","","SP3","1P / 2P","","PCIe® 3.0 x128","DDR4","8","Up to 2666 MT/s","170.6 GB/s","PS7551BDAFWOF","PS7551BDVIHAF","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , App dev|test , Cache-sensitive scale-up|out , CAE|CFD|FEA , ERM|SCM|CRM apps , High capacity data mgmt (NR|RDBMS) , VDI , VM Density"
"AMD EPYC™ 7501","EPYC 7001 Series","32","64","Up to 3 GHz","","2 GHz","64 MB","2870 USD","155W / 170W","","SP3","1P / 2P","","PCIe® 3.0 x128","DDR4","8","2400 MT/s / 2666 MT/s","153.6 GB/s / 170.6 GB/s","PS7501BEAFWOF","PS7501BEVIHAF","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , CAE|CFD|FEA , ERM|SCM|CRM apps , Media streaming , Medium capacity data mgmt (NR|RDBMS) , VDI , VM Density"
"AMD EPYC™ 7451","EPYC 7001 Series","24","48","Up to 3.2 GHz","","2.3 GHz","64 MB","1880 USD","180W","","SP3","1P / 2P","","PCIe® 3.0 x128","DDR4","8","Up to 2666 MT/s","170.6 GB/s","PS7451BDAFWOF","PS7451BDVHCAF","","AMD Infinity Guard , AMD Infinity Architecture","App dev|test , Content mgmt , General Purpose"
"AMD EPYC™ 7401P","EPYC 7001 Series","24","48","Up to 3 GHz","","2 GHz","64 MB","920 USD","155W / 170W","","SP3","1P","","PCIe® 3.0 x128","DDR4","8","2400 MT/s / 2666 MT/s","153.6 GB/s / 170.6 GB/s","PS740PBEAFWOF","PS740PBEVHCAF","","AMD Infinity Guard , AMD Infinity Architecture","ERM|SCM|CRM apps , Value data mgmt (NR|RDBMS) , VDI , VM Density"
"AMD EPYC™ 7401","EPYC 7001 Series","24","48","Up to 3 GHz","","2 GHz","64 MB","1620 USD","155W / 170W","","SP3","1P / 2P","","PCIe® 3.0 x128","DDR4","8","2400 MT/s / 2666 MT/s","153.6 GB/s / 170.6 GB/s","PS7401BEAFWOF","PS7401BEVHCAF","","AMD Infinity Guard , AMD Infinity Architecture","General Purpose , GPU|FPGA Accelerated , SW-defined storage"
"AMD EPYC™ 7371","EPYC 7001 Series","16","32","Up to 3.8 GHz","","3.1 GHz","64 MB","1550 USD","200W","","SP3","1P / 2P","","PCIe® 3.0 x128","DDR4","8","Up to 2666 MT/s","170.6 GB/s","","","","AMD Infinity Guard , AMD Infinity Architecture","EDA , ERM|SCM|CRM apps , Media streaming , Networking|NFV , Per core CAE|CFD|FEA , Web Serving"
"AMD EPYC™ 7351P","EPYC 7001 Series","16","32","Up to 2.9 GHz","","2.4 GHz","64 MB","660 USD","155W / 170W","","SP3","1P","","PCIe® 3.0 x128","DDR4","8","2400 MT/s / 2666 MT/s","153.6 GB/s / 170.6 GB/s","PS735PBEAFWOF","PS735PBEVGPAF","","AMD Infinity Guard , AMD Infinity Architecture","Cost-optimized , EDA , General Purpose , Media streaming , Value per core CAE|CFD|FEA"
"AMD EPYC™ 7351","EPYC 7001 Series","16","32","Up to 2.9 GHz","","2.4 GHz","64 MB","890 USD","155W / 170W","","SP3","1P / 2P","","PCIe® 3.0 x128","DDR4","8","2400 MT/s / 2666 MT/s","153.6 GB/s / 170.6 GB/s","PS7351BEAFWOF","PS7351BEVGPAF","","AMD Infinity Guard , AMD Infinity Architecture","General Purpose , Media streaming , Per core CAE|CFD|FEA , Web Serving"
"AMD EPYC™ 7301","EPYC 7001 Series","16","32","Up to 2.7 GHz","","2.2 GHz","64 MB","740 USD","155W / 170W","","SP3","1P / 2P","","PCIe® 3.0 x128","DDR4","8","2400 MT/s / 2666 MT/s","153.6 GB/s / 170.6 GB/s","PS7301BEAFWOF","PS7301BEVGPAF","","AMD Infinity Guard , AMD Infinity Architecture","EDA , General Purpose , Media streaming , Per core CAE|CFD|FEA"
"AMD EPYC™ 7281","EPYC 7001 Series","16","32","Up to 2.7 GHz","","2.1 GHz","32 MB","580 USD","155W / 170W","","SP3","1P / 2P","","PCIe® 3.0 x128","DDR4","8","2400 MT/s / 2666 MT/s","153.6 GB/s / 170.6 GB/s","PS7281BEAFWOF","PS7281BEVGAAF","","AMD Infinity Guard , AMD Infinity Architecture","Cost-optimized , General Purpose , SW-defined storage"
"AMD EPYC™ 7261","EPYC 7001 Series","8","16","Up to 2.9 GHz","","2.5 GHz","64 MB","570 USD","155W / 170W","","SP3","1P / 2P","","","DDR4","8","2400 MT/s / 2666 MT/s","153.6 GB/s / 170.6 GB/s","","PS7261BEV8RAF","","AMD Infinity Guard , AMD Infinity Architecture","Collaborative , Cost-optimized , Departmental CAE|CFD|FEA , EDA , Per core license , Value data mgmt (NR|RDBMS)"
"AMD EPYC™ 7251","EPYC 7001 Series","8","16","Up to 2.9 GHz","","2.1 GHz","32 MB","400 USD","120W","","SP3","1P / 2P","","PCIe® 3.0 x128","DDR4","8","Up to 2400 MT/s","153.6 GB/s","PS7251BFAFWOF","PS7251BFV8SAF","","AMD Infinity Guard , AMD Infinity Architecture","Collaborative , Cost-optimized , Per core license , Value data mgmt (NR|RDBMS)"
